Id;Country;StartDate;EndDate;Type;RegionalScope;Name
984fe907-9744-4291-b708-c97e70a6da6d;AD;2019-12-23;2020-01-06;School;National;CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays
ae4e1363-8cb7-4ec1-8f83-56f5b613f445;AD;2020-02-24;2020-02-28;School;National;CA Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays
0f285f08-8e43-4444-9fd4-e80060add965;AD;2020-04-06;2020-04-17;School;National;CA Vacances de Pasqua,DE Osterferien,EN Easter holidays
0d172112-ac3d-4a5b-93f1-991022964003;AD;2020-05-25;2020-06-01;School;National;CA Vacances de Pentecosta,DE Pfingstferien,EN Pentecost holidays
34c342c2-aa02-4e76-93de-439be436a874;AD;2020-07-02;2020-09-08;School;National;CA Vacances d'estiu,DE Sommerferien,EN Summer holidays
5a9da940-0362-458a-a26c-3439ee24c7f9;AD;2020-10-26;2020-10-30;School;National;CA Vacances de Tots Sants,DE Feiertage zu Allerheiligen,EN All Saints Holidays
7d7cee27-ad80-4349-8989-2ca96a4b4a40;AD;2020-12-23;2021-01-06;School;National;CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays
09390606-2b53-40b9-8026-402f3d857bbe;AD;2021-02-15;2021-02-18;School;National;CA Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays
95d56d33-9da5-40dd-b99b-e18f3b6bc7bd;AD;2021-03-29;2021-04-06;School;National;CA Vacances de Pasqua,DE Osterferien,EN Easter holidays
3ee32a1d-3a5f-4fce-a718-7df34a3bcefe;AD;2021-05-24;2021-05-28;School;National;CA Vacances de Pentecosta,DE Pfingstferien,EN Pentecost holidays
1f48257c-6a85-41a1-a38a-59e80401c950;AD;2021-07-03;2021-09-08;School;National;CA Vacances d'estiu,DE Sommerferien,EN Summer holidays
58c52319-d735-4e80-87ab-0d864656885f;AD;2021-11-01;2021-11-01;School;National;CA Vacances de Tots Sants,DE Feiertage zu Allerheiligen,EN All Saints Holidays
ae8c4a06-7cd4-43c2-b22f-27e881803964;AD;2021-12-23;2022-01-07;School;National;CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays
b37365a8-765e-42ed-b87d-5caa0c1b8617;AD;2022-02-28;2022-03-04;School;National;CA Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays
c01d932c-9e30-4db7-a8a0-33a7b0d3dd0e;AD;2022-04-11;2022-04-22;School;National;CA Vacances de Pasqua,DE Osterferien,EN Easter holidays
48f01af2-26fa-4040-97cc-210287622b9b;AD;2022-06-02;2022-06-06;School;National;CA Vacances de Pentecosta,DE Pfingstferien,EN Pentecost holidays
d218cf2d-4461-47ef-a0f7-c0d26ae6a59e;AD;2022-07-02;2022-09-08;School;National;CA Vacances d'estiu,DE Sommerferien,EN Summer holidays
ad1d0141-5fb0-4b5c-9941-b72199cbe719;AD;2022-10-31;2022-11-04;School;National;CA Vacances de Tots Sants,DE Feiertage zu Allerheiligen,EN All Saints Holidays
4adceed1-f73c-4cd7-a53a-f35b36d503e3;AD;2022-12-23;2023-01-06;School;National;CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays
95975e80-e5ae-4940-80ab-906dc539d5e1;AD;2023-02-20;2023-02-24;School;National;CA Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays
26972af6-3640-4e4b-829f-5eebd71cc3b5;AD;2023-04-03;2023-04-14;School;National;CA Vacances de Pasqua,DE Osterferien,EN Easter holidays
68d38945-250d-406d-9ada-30965cac1434;AD;2023-05-29;2023-05-30;School;National;CA Vacances de Pentecosta,DE Pfingstferien,EN Pentecost holidays
b716eaaa-4761-416f-96b3-ace40f50f333;AD;2023-07-01;2023-09-10;School;National;CA Vacances d'estiu,DE Sommerferien,EN Summer holidays
