Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
SI;SI-ZR;;ZR;SI regije,DE Regionen,EN regions;SI zahodne regije,DE Westliche Regionen,EN western regions;SL;
SI;SI-VR;;VR;SI regije,DE Regionen,EN regions;SI vzhodne regije,DE Östliche Regionen,EN eastern regions;SL;
SI;SI-ZR-GR-AJ;SI-001;GR-AJ;SI občina,DE Gemeinde,EN municipality;SL Ajdovščina;SL;SI-ZR
SI;SI-ZR-OK-AN;SI-213;OK-AN;SI občina,DE Gemeinde,EN municipality;SL Ankaran;SL;SI-ZR
SI;SI-VR-PM-AP;SI-195;PM-AP;SI občina,DE Gemeinde,EN municipality;SL Apače;SL;SI-VR
SI;SI-VR-PM-BE;SI-002;PM-BE;SI občina,DE Gemeinde,EN municipality;SL Beltinci;SL;SI-VR
SI;SI-VR-PD-BE;SI-148;PD-BE;SI občina,DE Gemeinde,EN municipality;SL Benedikt;SL;SI-VR
SI;SI-VR-SA-BS;SI-149;SA-BS;SI občina,DE Gemeinde,EN municipality;SL Bistrica ob Sotli;SL;SI-VR
SI;SI-ZR-GJ-BD;SI-003;GJ-BD;SI občina,DE Gemeinde,EN municipality;SL Bled;SL;SI-ZR
SI;SI-ZR-PN-BL;SI-150;PN-BL;SI občina,DE Gemeinde,EN municipality;SL Bloke;SL;SI-ZR
SI;SI-ZR-GJ-BO;SI-004;GJ-BO;SI občina,DE Gemeinde,EN municipality;SL Bohinj;SL;SI-ZR
SI;SI-ZR-OS-BO;SI-005;OS-BO;SI občina,DE Gemeinde,EN municipality;SL Borovnica;SL;SI-ZR
SI;SI-ZR-GR-BO;SI-006;GR-BO;SI občina,DE Gemeinde,EN municipality;SL Bovec;SL;SI-ZR
SI;SI-VR-SA-BR;SI-151;SA-BR;SI občina,DE Gemeinde,EN municipality;SL Braslovče;SL;SI-VR
SI;SI-ZR-GR-BR;SI-007;GR-BR;SI občina,DE Gemeinde,EN municipality;SL Brda;SL;SI-ZR
SI;SI-ZR-OS-BR;SI-008;OS-BR;SI občina,DE Gemeinde,EN municipality;SL Brezovica;SL;SI-ZR
SI;SI-VR-PS-BR;SI-009;PS-BR;SI občina,DE Gemeinde,EN municipality;SL Brežice;SL;SI-VR
SI;SI-VR-PM-CA;SI-152;PM-CA;SI občina,DE Gemeinde,EN municipality;SL Cankova;SL;SI-VR
SI;SI-VR-SA-CE;SI-011;SA-CE;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Celje;SL;SI-VR
SI;SI-ZR-GJ-CG;SI-012;GJ-CG;SI občina,DE Gemeinde,EN municipality;SL Cerklje na Gorenjskem;SL;SI-ZR
SI;SI-ZR-PN-CE;SI-013;PN-CE;SI občina,DE Gemeinde,EN municipality;SL Cerknica;SL;SI-ZR
SI;SI-ZR-GR-CE;SI-014;GR-CE;SI občina,DE Gemeinde,EN municipality;SL Cerkno;SL;SI-ZR
SI;SI-VR-PD-CE;SI-153;PD-CE;SI občina,DE Gemeinde,EN municipality;SL Cerkvenjak;SL;SI-VR
SI;SI-VR-PD-CL;SI-196;PD-CL;SI občina,DE Gemeinde,EN municipality;SL Cirkulane;SL;SI-VR
SI;SI-VR-PD-DE;SI-018;PD-DE;SI občina,DE Gemeinde,EN municipality;SL Destrnik;SL;SI-VR
SI;SI-ZR-OK-DI;SI-019;OK-DI;SI občina,DE Gemeinde,EN municipality;SL Divača;SL;SI-ZR
SI;SI-VR-SA-DJ;SI-154;SA-DJ;SI občina,DE Gemeinde,EN municipality;SL Dobje;SL;SI-VR
SI;SI-ZR-OS-DB;SI-020;OS-DB;SI občina,DE Gemeinde,EN municipality;SL Dobrepolje;SL;SI-ZR
SI;SI-VR-SA-DR;SI-155;SA-DR;SI občina,DE Gemeinde,EN municipality;SL Dobrna;SL;SI-VR
SI;SI-ZR-OS-DP;SI-021;OS-DP;SI občina,DE Gemeinde,EN municipality;SL Dobrova-Polhov Gradec;SL;SI-ZR
SI;SI-VR-PM-DO;SI-156;PM-DO;SI občina,DE Gemeinde,EN municipality;SL Dobrovnik;SL;SI-VR
SI;SI-ZR-OS-DL;SI-022;OS-DL;SI občina,DE Gemeinde,EN municipality;SL Dol pri Ljubljani;SL;SI-ZR
SI;SI-VR-JS-DT;SI-157;JS-DT;SI občina,DE Gemeinde,EN municipality;SL Dolenjske Toplice;SL;SI-VR
SI;SI-ZR-OS-DM;SI-023;OS-DM;SI občina,DE Gemeinde,EN municipality;SL Domžale;SL;SI-ZR
SI;SI-VR-PD-DO;SI-024;PD-DO;SI občina,DE Gemeinde,EN municipality;SL Dornava;SL;SI-VR
SI;SI-VR-KO-DR;SI-025;KO-DR;SI občina,DE Gemeinde,EN municipality;SL Dravograd;SL;SI-VR
SI;SI-VR-PD-DU;SI-026;PD-DU;SI občina,DE Gemeinde,EN municipality;SL Duplek;SL;SI-VR
SI;SI-ZR-GJ-GV;SI-027;GJ-GV;SI občina,DE Gemeinde,EN municipality;SL Gorenja vas-Poljane;SL;SI-ZR
SI;SI-VR-PD-GR;SI-028;PD-GR;SI občina,DE Gemeinde,EN municipality;SL Gorišnica;SL;SI-VR
SI;SI-ZR-GJ-GJ;SI-207;GJ-GJ;SI občina,DE Gemeinde,EN municipality;SL Gorje;SL;SI-ZR
SI;SI-VR-PM-GG;SI-029;PM-GG;SI občina,DE Gemeinde,EN municipality;SL Gornja Radgona;SL;SI-VR
SI;SI-VR-SA-GG;SI-030;SA-GG;SI občina,DE Gemeinde,EN municipality;SL Gornji Grad;SL;SI-VR
SI;SI-VR-PM-GP;SI-031;PM-GP;SI občina,DE Gemeinde,EN municipality;SL Gornji Petrovci;SL;SI-VR
SI;SI-VR-PM-GD;SI-158;PM-GD;SI občina,DE Gemeinde,EN municipality;SL Grad;SL;SI-VR
SI;SI-ZR-OS-GR;SI-032;OS-GR;SI občina,DE Gemeinde,EN municipality;SL Grosuplje;SL;SI-ZR
SI;SI-VR-PD-HA;SI-159;PD-HA;SI občina,DE Gemeinde,EN municipality;SL Hajdina;SL;SI-VR
SI;SI-VR-PM-HO;SI-161;PM-HO;SI občina,DE Gemeinde,EN municipality;SL Hodoš;SL;SI-VR
SI;SI-ZR-OS-HO;SI-162;OS-HO;SI občina,DE Gemeinde,EN municipality;SL Horjul;SL;SI-ZR
SI;SI-VR-PD-HS;SI-160;PD-HS;SI občina,DE Gemeinde,EN municipality;SL Hoče-Slivnica;SL;SI-VR
SI;SI-ZR-ZS-HR;SI-034;ZS-HR;SI občina,DE Gemeinde,EN municipality;SL Hrastnik;SL;SI-ZR
SI;SI-ZR-OK-HK;SI-035;OK-HK;SI občina,DE Gemeinde,EN municipality;SL Hrpelje-Kozina;SL;SI-ZR
SI;SI-ZR-GR-ID;SI-036;GR-ID;SI občina,DE Gemeinde,EN municipality;SL Idrija;SL;SI-ZR
SI;SI-ZR-OS-IG;SI-037;OS-IG;SI občina,DE Gemeinde,EN municipality;SL Ig;SL;SI-ZR
SI;SI-ZR-PN-IB;SI-038;PN-IB;SI občina,DE Gemeinde,EN municipality;SL Ilirska Bistrica;SL;SI-ZR
SI;SI-ZR-OS-IV;SI-039;OS-IV;SI občina,DE Gemeinde,EN municipality;SL Ivančna Gorica;SL;SI-ZR
SI;SI-ZR-OK-IZ;SI-040;OK-IZ;SI občina,DE Gemeinde,EN municipality;SL Izola;SL;SI-ZR
SI;SI-ZR-GJ-JS;SI-041;GJ-JS;SI občina,DE Gemeinde,EN municipality;SL Jesenice;SL;SI-ZR
SI;SI-ZR-GJ-JZ;SI-163;GJ-JZ;SI občina,DE Gemeinde,EN municipality;SL Jezersko;SL;SI-ZR
SI;SI-VR-PD-JU;SI-042;PD-JU;SI občina,DE Gemeinde,EN municipality;SL Juršinci;SL;SI-VR
SI;SI-ZR-OS-KA;SI-043;OS-KA;SI občina,DE Gemeinde,EN municipality;SL Kamnik;SL;SI-ZR
SI;SI-ZR-GR-KA;SI-044;GR-KA;SI občina,DE Gemeinde,EN municipality;SL Kanal ob Soči;SL;SI-ZR
SI;SI-VR-PD-KI;SI-045;PD-KI;SI občina,DE Gemeinde,EN municipality;SL Kidričevo;SL;SI-VR
SI;SI-ZR-GR-KO;SI-046;GR-KO;SI občina,DE Gemeinde,EN municipality;SL Kobarid;SL;SI-ZR
SI;SI-VR-PM-KO;SI-047;PM-KO;SI občina,DE Gemeinde,EN municipality;SL Kobilje;SL;SI-VR
SI;SI-ZR-OK-KM;SI-049;OK-KM;SI občina,DE Gemeinde,EN municipality;SL Komen;SL;SI-ZR
SI;SI-ZR-OS-KM;SI-164;OS-KM;SI občina,DE Gemeinde,EN municipality;SL Komenda;SL;SI-ZR
SI;SI-ZR-OK-KP;SI-050;OK-KP;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Koper;SL;SI-ZR
SI;SI-VR-PS-KJ;SI-197;PS-KJ;SI občina,DE Gemeinde,EN municipality;SL Kostanjevica na Krki;SL;SI-VR
SI;SI-ZR-OS-KS;SI-165;OS-KS;SI občina,DE Gemeinde,EN municipality;SL Kostel;SL;SI-ZR
SI;SI-VR-SA-KO;SI-051;SA-KO;SI občina,DE Gemeinde,EN municipality;SL Kozje;SL;SI-VR
SI;SI-ZR-OS-KC;SI-048;OS-KC;SI občina,DE Gemeinde,EN municipality;SL Kočevje;SL;SI-ZR
SI;SI-ZR-GJ-KR;SI-052;GJ-KR;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Kranj;SL;SI-ZR
SI;SI-ZR-GJ-KG;SI-053;GJ-KG;SI občina,DE Gemeinde,EN municipality;SL Kranjska Gora;SL;SI-ZR
SI;SI-VR-PM-KR;SI-166;PM-KR;SI občina,DE Gemeinde,EN municipality;SL Križevci;SL;SI-VR
SI;SI-VR-PS-KS;SI-054;PS-KS;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Krško;SL;SI-VR
SI;SI-VR-PD-KU;SI-055;PD-KU;SI občina,DE Gemeinde,EN municipality;SL Kungota;SL;SI-VR
SI;SI-VR-PM-KU;SI-056;PM-KU;SI občina,DE Gemeinde,EN municipality;SL Kuzma;SL;SI-VR
SI;SI-VR-SA-LA;SI-057;SA-LA;SI občina,DE Gemeinde,EN municipality;SL Laško;SL;SI-VR
SI;SI-VR-PD-LN;SI-058;PD-LN;SI občina,DE Gemeinde,EN municipality;SL Lenart;SL;SI-VR
SI;SI-VR-PM-LE;SI-059;PM-LE;SI občina,DE Gemeinde,EN municipality;SL Lendava;SL;SI-VR
SI;SI-ZR-OS-LI;SI-060;OS-LI;SI občina,DE Gemeinde,EN municipality;SL Litija;SL;SI-ZR
SI;SI-ZR-OS-LJ;SI-061;OS-LJ;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Ljubljana;SL;SI-ZR
SI;SI-VR-SA-LJ;SI-062;SA-LJ;SI občina,DE Gemeinde,EN municipality;SL Ljubno;SL;SI-VR
SI;SI-VR-PM-LJ;SI-063;PM-LJ;SI občina,DE Gemeinde,EN municipality;SL Ljutomer;SL;SI-VR
SI;SI-ZR-OS-LD;SI-208;OS-LD;SI občina,DE Gemeinde,EN municipality;SL Log-Dragomer;SL;SI-ZR
SI;SI-ZR-OS-LO;SI-064;OS-LO;SI občina,DE Gemeinde,EN municipality;SL Logatec;SL;SI-ZR
SI;SI-VR-PD-LP;SI-167;PD-LP;SI občina,DE Gemeinde,EN municipality;SL Lovrenc na Pohorju;SL;SI-VR
SI;SI-ZR-PN-LD;SI-065;PN-LD;SI občina,DE Gemeinde,EN municipality;SL Loška Dolina;SL;SI-ZR
SI;SI-ZR-OS-LP;SI-066;OS-LP;SI občina,DE Gemeinde,EN municipality;SL Loški Potok;SL;SI-ZR
SI;SI-ZR-OS-LU;SI-068;OS-LU;SI občina,DE Gemeinde,EN municipality;SL Lukovica;SL;SI-ZR
SI;SI-VR-SA-LU;SI-067;SA-LU;SI občina,DE Gemeinde,EN municipality;SL Luče;SL;SI-VR
SI;SI-VR-PD-MJ;SI-069;PD-MJ;SI občina,DE Gemeinde,EN municipality;SL Majšperk;SL;SI-VR
SI;SI-VR-PD-ML;SI-198;PD-ML;SI občina,DE Gemeinde,EN municipality;SL Makole;SL;SI-VR
SI;SI-VR-PD-MB;SI-070;PD-MB;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Maribor;SL;SI-VR
SI;SI-VR-PD-MK;SI-168;PD-MK;SI občina,DE Gemeinde,EN municipality;SL Markovci;SL;SI-VR
SI;SI-ZR-OS-MD;SI-071;OS-MD;SI občina,DE Gemeinde,EN municipality;SL Medvode;SL;SI-ZR
SI;SI-ZR-OS-MN;SI-072;OS-MN;SI občina,DE Gemeinde,EN municipality;SL Mengeš;SL;SI-ZR
SI;SI-VR-JS-ME;SI-073;JS-ME;SI občina,DE Gemeinde,EN municipality;SL Metlika;SL;SI-VR
SI;SI-VR-KO-ME;SI-074;KO-ME;SI občina,DE Gemeinde,EN municipality;SL Mežica;SL;SI-VR
SI;SI-VR-PD-MD;SI-169;PD-MD;SI občina,DE Gemeinde,EN municipality;SL Miklavž na Dravskem polju;SL;SI-VR
SI;SI-ZR-GR-MK;SI-075;GR-MK;SI občina,DE Gemeinde,EN municipality;SL Miren-Kostanjevica;SL;SI-ZR
SI;SI-VR-JS-MI;SI-212;JS-MI;SI občina,DE Gemeinde,EN municipality;SL Mirna;SL;SI-VR
SI;SI-VR-JS-MP;SI-170;JS-MP;SI občina,DE Gemeinde,EN municipality;SL Mirna Peč;SL;SI-VR
SI;SI-VR-KO-MI;SI-076;KO-MI;SI občina,DE Gemeinde,EN municipality;SL Mislinja;SL;SI-VR
SI;SI-VR-JS-MT;SI-199;JS-MT;SI občina,DE Gemeinde,EN municipality;SL Mokronog-Trebelno;SL;SI-VR
SI;SI-VR-PM-MT;SI-078;PM-MT;SI občina,DE Gemeinde,EN municipality;SL Moravske Toplice;SL;SI-VR
SI;SI-ZR-OS-MO;SI-077;OS-MO;SI občina,DE Gemeinde,EN municipality;SL Moravče;SL;SI-ZR
SI;SI-VR-SA-MZ;SI-079;SA-MZ;SI občina,DE Gemeinde,EN municipality;SL Mozirje;SL;SI-VR
SI;SI-VR-PM-MS;SI-080;PM-MS;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Murska Sobota;SL;SI-VR
SI;SI-VR-KO-MU;SI-081;KO-MU;SI občina,DE Gemeinde,EN municipality;SL Muta;SL;SI-VR
SI;SI-ZR-GJ-NA;SI-082;GJ-NA;SI občina,DE Gemeinde,EN municipality;SL Naklo;SL;SI-ZR
SI;SI-VR-SA-NA;SI-083;SA-NA;SI občina,DE Gemeinde,EN municipality;SL Nazarje;SL;SI-VR
SI;SI-ZR-GR-NV;SI-084;GR-NV;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Nova Gorica;SL;SI-ZR
SI;SI-VR-JS-NV;SI-085;JS-NV;SI mestna občina,DE Stadtgemeinde,EN urban municipality;SL Novo Mesto;SL;SI-VR
SI;SI-VR-PM-OD;SI-086;PM-OD;SI občina,DE Gemeinde,EN municipality;SL Odranci;SL;SI-VR
SI;SI-VR-PD-OP;SI-171;PD-OP;SI občina,DE Gemeinde,EN municipality;SL Oplotnica;SL;SI-VR
SI;SI-VR-PD-OM;SI-087;PD-OM;SI občina,DE Gemeinde,EN municipality;SL Ormož;SL;SI-VR
SI;SI-ZR-OS-OS;SI-088;OS-OS;SI občina,DE Gemeinde,EN municipality;SL Osilnica;SL;SI-ZR
SI;SI-VR-PD-PE;SI-089;PD-PE;SI občina,DE Gemeinde,EN municipality;SL Pesnica;SL;SI-VR
SI;SI-ZR-OK-PI;SI-090;OK-PI;SI občina,DE Gemeinde,EN municipality;SL Piran;SL;SI-ZR
SI;SI-ZR-GR-PI;SI-091;GR-PI;SI občina,DE Gemeinde,EN municipality;SL Pivka;SL;SI-ZR
SI;SI-VR-PD-PO;SI-172;PD-PO;SI občina,DE Gemeinde,EN municipality;SL Podlehnik;SL;SI-VR
SI;SI-VR-KO-PO;SI-093;KO-PO;SI občina,DE Gemeinde,EN municipality;SL Podvelka;SL;SI-VR
SI;SI-VR-SA-PD;SI-092;SA-PD;SI občina,DE Gemeinde,EN municipality;SL Podčetrtek;SL;SI-VR
SI;SI-VR-PD-PJ;SI-200;PD-PJ;SI občina,DE Gemeinde,EN municipality;SL Poljčane;SL;SI-VR
