Id;Country;StartDate;EndDate;Type;Name;Subdivisions;
cb9cbc2c-423f-4b65-9f72-f1803e38bac2;MY;2024-01-01;;Public;EN New Year's Day;KUL,LBN,MLK,NSN,PHG,PNG,PRK,PLS,PJY,SBH,SWK,SGR;
acd30e9d-07bd-4523-ab0b-dc40588c816f;MY;2024-01-14;;Public;EN YDPB Negeri Sembilan's Birthday;NSN;
61f1026e-e4f7-4f90-a557-62f9f6dce37e;MY;2024-01-25;;Public;EN Thaipusam Day;JHR,KUL,NSN,PNG,PRK,PJY,SGR;
a47a8046-63d3-4cb2-a682-079196eff20f;MY;2024-02-01;;Public;EN Federal Territory Day;KUL,LBN,PJY;
30231891-512b-4d89-999e-5d209c401c86;MY;2024-02-08;;Public;EN Israk and Mikraj;KDH,NSN,PLS,TRG;
5e70bc3c-78ac-4b74-a884-cc10675741aa;MY;2024-02-10;;Public;EN Chinese New Year;;
7e582252-987b-4d3f-8e60-1f3da66266b3;MY;2024-02-11;;Public;EN Chinese New Year (Second Day);;
1bda2599-f01e-4f6c-9b88-26a5222adf61;MY;2024-02-20;;Public;EN Independence Declaration Day;MLK;
34bef501-707f-4849-b8c1-11ea2b73ac56;MY;2024-03-04;;Public;EN Installation of Sultan Terengganu;TRG;
ca943e0a-2a96-4659-b8de-71c23900ddda;MY;2024-03-12;;Public;EN Awal Ramadan;JHR,KDH,MLK;
1e3802b9-bbd4-4ffe-93b4-7f127adcbcde;MY;2024-03-23;;Public;EN Sultan of Johor's Birthday;JHR;
6d1f4721-c58a-4cc4-be2a-93fbfdf5026e;MY;2024-03-28;;Public;EN Nuzul Al-Quran Day;KTN,KUL,LBN,PHG,PNG,PRK,PLS,PJY,SGR,TRG;
114af467-12a6-46c7-bccc-eabe184a24c5;MY;2024-03-29;;Public;EN Good Friday;SBH,SWK;
18d02703-d375-430a-a0c4-75245d9c00d8;MY;2024-04-10;;Public;EN Hari Raya Puasa;;
82812994-80ab-4405-9602-55dcc8192f14;MY;2024-04-11;;Public;EN Hari Raya Puasa (Second Day);;
710b2aaf-8f0d-427d-998b-4a083a19ce8e;MY;2024-04-26;;Public;EN Sultan of Terengganu's Birthday;TRG;
361dda1d-56f3-459e-b9b0-0d764fbde379;MY;2024-05-01;;Public;EN Labour Day;;
467970a3-abc3-4416-9c24-6cc4c34eeb1d;MY;2024-05-17;;Public;EN Raja Perlis' Birthday;PLS;
