Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions;Comment
119a075c-8036-46ea-afc3-3c85ce6254a1;CH;2020-02-22;2020-03-01;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;FR;FR Écoles primaires (ville)
50b56606-025b-4c4f-9815-852703511946;CH;2020-04-04;2020-04-19;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;FR;FR Écoles primaires (ville)
3636a79a-2935-4ebf-972d-fe479c99b714;CH;2020-07-04;2020-08-26;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;FR;FR Écoles primaires (ville)
8d6e0cb0-c1fb-437b-a02f-4775c609329e;CH;2020-10-17;2020-11-01;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;FR;FR Écoles primaires (ville)
64f04edd-723f-48d7-af66-88428ae819fe;CH;2020-12-19;2021-01-03;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;FR;FR Écoles primaires (ville)
82a3aeb9-9139-4512-adda-26860a051919;CH;2020-02-22;2020-03-01;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;FR;FR Écoles sec. II
09c80203-4bea-40ef-9ea5-388b4ab88177;CH;2020-04-04;2020-04-19;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;FR;FR Écoles sec. II
96616a64-2ab6-4ab1-9d50-9f9ef71efce9;CH;2020-06-27;2020-08-26;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;FR;FR Écoles sec. II
fd9e68c7-0d0f-4572-8454-e5e8b897aa3b;CH;2020-10-17;2020-11-01;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;FR;FR Écoles sec. II
5b983843-297b-4f47-a212-7eeade8adedf;CH;2020-12-19;2021-01-03;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;FR;FR Écoles sec. II
4563590b-5412-47fe-96fc-3f5433071191;CH;2021-02-13;2021-02-21;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;FR;FR Écoles primaires (ville)
d64446e4-4e5d-4045-959e-349daf0b53af;CH;2021-04-02;2021-04-18;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;FR;FR Écoles primaires (ville)
